country_code,entry_year,athletes_entering,stringency_2020_21,pop_15_24,gdp_per_capita_ppp,political_stability,log_entrants,stringency_z
CHL,2020,0,65.25999999999999,2703784.4851266826,29563.6780243659,0.1362,0.0,1.1427492716223964
CHL,2021,1,65.25999999999999,2703784.4851266826,29563.6780243659,0.1362,0.6931471805599453,1.1427492716223964
CHL,2022,0,65.25999999999999,2703784.4851266826,29563.6780243659,0.1362,0.0,1.1427492716223964
CHL,2023,0,65.25999999999999,2703784.4851266826,29563.6780243659,0.1362,0.0,1.1427492716223964
CHL,2024,0,65.25999999999999,2703784.4851266826,29563.6780243659,0.1362,0.0,1.1427492716223964
CIV,2020,0,29.5,5325946.781666751,6520.89886460031,-0.6318,0.0,-1.894574652667336
CIV,2021,0,29.5,5325946.781666751,6520.89886460031,-0.6318,0.0,-1.894574652667336
CIV,2022,0,29.5,5325946.781666751,6520.89886460031,-0.6318,0.0,-1.894574652667336
CIV,2023,0,29.5,5325946.781666751,6520.89886460031,-0.6318,0.0,-1.894574652667336
CIV,2024,2,29.5,5325946.781666751,6520.89886460031,-0.6318,1.0986122886681098,-1.894574652667336
CMR,2020,0,36.895,5118190.661279958,4875.25120768005,-1.4004,0.0,-1.2664703344312458
CMR,2021,1,36.895,5118190.661279958,4875.25120768005,-1.4004,0.6931471805599453,-1.2664703344312458
CMR,2022,1,36.895,5118190.661279958,4875.25120768005,-1.4004,0.6931471805599453,-1.2664703344312458
CMR,2023,0,36.895,5118190.661279958,4875.25120768005,-1.4004,0.0,-1.2664703344312458
CMR,2024,0,36.895,5118190.661279958,4875.25120768005,-1.4004,0.0,-1.2664703344312458
COL,2020,1,62.45,8606126.06765081,18382.9976800475,-0.7173,0.6931471805599453,0.9040781243278183
COL,2021,2,62.45,8606126.06765081,18382.9976800475,-0.7173,1.0986122886681098,0.9040781243278183
COL,2022,3,62.45,8606126.06765081,18382.9976800475,-0.7173,1.3862943611198906,0.9040781243278183
COL,2023,0,62.45,8606126.06765081,18382.9976800475,-0.7173,0.0,0.9040781243278183
COL,2024,1,62.45,8606126.06765081,18382.9976800475,-0.7173,0.6931471805599453,0.9040781243278183
CRI,2020,0,55.665,769743.6109252343,25979.6286150717,0.9842,0.0,0.32778498041546233
CRI,2021,0,55.665,769743.6109252343,25979.6286150717,0.9842,0.0,0.32778498041546233
CRI,2022,1,55.665,769743.6109252343,25979.6286150717,0.9842,0.6931471805599453,0.32778498041546233
CRI,2023,0,55.665,769743.6109252343,25979.6286150717,0.9842,0.0,0.32778498041546233
CRI,2024,0,55.665,769743.6109252343,25979.6286150717,0.9842,0.0,0.32778498041546233
CUB,2020,0,64.66,1340827.4878428152,,0.3842,0.0,1.0917874608121665
CUB,2021,0,64.66,1340827.4878428152,,0.3842,0.0,1.0917874608121665
CUB,2022,1,64.66,1340827.4878428152,,0.3842,0.6931471805599453,1.0917874608121665
CUB,2023,0,64.66,1340827.4878428152,,0.3842,0.0,1.0917874608121665
CUB,2024,0,64.66,1340827.4878428152,,0.3842,0.0,1.0917874608121665
CYP,2020,0,56.465,147233.07640448306,51453.7265625,0.4096,0.0,0.3957340614957699
CYP,2021,1,56.465,147233.07640448306,51453.7265625,0.4096,0.6931471805599453,0.3957340614957699
CYP,2022,1,56.465,147233.07640448306,51453.7265625,0.4096,0.6931471805599453,0.3957340614957699
CYP,2023,1,56.465,147233.07640448306,51453.7265625,0.4096,0.6931471805599453,0.3957340614957699
CYP,2024,0,56.465,147233.07640448306,51453.7265625,0.4096,0.0,0.3957340614957699
CZE,2020,2,50.22,991528.9593727996,47558.4106763314,0.9674,1.0986122886681098,-0.13469345268737878
CZE,2021,11,50.22,991528.9593727996,47558.4106763314,0.9674,2.4849066497880004,-0.13469345268737878
CZE,2022,10,50.22,991528.9593727996,47558.4106763314,0.9674,2.3978952727983707,-0.13469345268737878
CZE,2023,5,50.22,991528.9593727996,47558.4106763314,0.9674,1.791759469228055,-0.13469345268737878
CZE,2024,3,50.22,991528.9593727996,47558.4106763314,0.9674,1.3862943611198906,-0.13469345268737878
DEU,2020,6,56.815,8452614.877141096,63039.3719696432,0.587,1.9459101490553132,0.4254617844684038
DEU,2021,20,56.815,8452614.877141096,63039.3719696432,0.587,3.044522437723423,0.4254617844684038
DEU,2022,20,56.815,8452614.877141096,63039.3719696432,0.587,3.044522437723423,0.4254617844684038
DEU,2023,22,56.815,8452614.877141096,63039.3719696432,0.587,3.1354942159291497,0.4254617844684038
DEU,2024,16,56.815,8452614.877141096,63039.3719696432,0.587,2.833213344056216,0.4254617844684038
DMA,2020,0,40.815,9616.75671293264,18278.2253401989,1.2853,0.0,-0.9335198371377408
DMA,2021,1,40.815,9616.75671293264,18278.2253401989,1.2853,0.6931471805599453,-0.9335198371377408
DMA,2022,0,40.815,9616.75671293264,18278.2253401989,1.2853,0.0,-0.9335198371377408
DMA,2023,0,40.815,9616.75671293264,18278.2253401989,1.2853,0.0,-0.9335198371377408
DMA,2024,0,40.815,9616.75671293264,18278.2253401989,1.2853,0.0,-0.9335198371377408
DNK,2020,0,46.545,725083.462412166,69379.22000847,0.8508,0.0,-0.44683454390003985
DNK,2021,1,46.545,725083.462412166,69379.22000847,0.8508,0.6931471805599453,-0.44683454390003985
DNK,2022,6,46.545,725083.462412166,69379.22000847,0.8508,1.9459101490553132,-0.44683454390003985
DNK,2023,2,46.545,725083.462412166,69379.22000847,0.8508,1.0986122886681098,-0.44683454390003985
