country_code,year,terms_of_trade_index
ARE,2014,122.3
ARG,2014,104.7
ARM,2014,99.3
ASM,2014,77.9
ATG,2014,102.2
AUS,2014,111.3
AUT,2014,99.1
AZE,2014,154.1
BDI,2014,95.8
BEL,2014,98.7
BEN,2014,112.2
BFA,2014,97.7
BGD,2014,89.3
BGR,2014,96.0
BHR,2014,110.0
BHS,2014,93.3
BIH,2014,96.4
BLR,2014,116.9
BLZ,2014,104.0
BMU,2014,107.6
BOL,2014,133.6
BRA,2014,113.2
BRB,2014,97.7
BRN,2014,142.9
BTN,2014,99.6
BWA,2014,88.9
CAF,2014,124.4
CAN,2014,112.0
CHE,2014,94.9
CHL,2014,102.7
CHN,2014,89.6
CIV,2014,94.4
CMR,2014,109.6
COD,2014,105.0
COG,2014,137.4
COL,2014,132.8
COM,2014,89.1
CPV,2014,95.1
CRI,2014,93.0
CUB,2014,103.4
CUW,2014,109.1554207416
CYM,2014,97.6
CYP,2014,99.9
CZE,2014,99.6
DEU,2014,97.2
DJI,2014,108.9
DMA,2014,101.7
DNK,2014,99.4
DOM,2014,92.1
DZA,2014,143.4
ECU,2014,131.9
EGY,2014,104.7
ERI,2014,105.8
ESP,2014,98.0
EST,2014,100.1
ETH,2014,101.0
FIN,2014,95.9
FJI,2014,103.6
FRA,2014,97.5
FRO,2014,89.1
FSM,2014,85.3
GAB,2014,138.3
GBR,2014,99.5
GEO,2014,98.2
GHA,2014,107.2
GIB,2014,89.7
GIN,2014,104.0
GMB,2014,103.6
GNB,2014,94.4
GNQ,2014,144.9
GRC,2014,98.0
GRD,2014,88.3
GRL,2014,94.8
GTM,2014,95.0
GUM,2014,98.7
GUY,2014,92.9
HKG,2014,99.3
HND,2014,94.8
HRV,2014,99.1
HTI,2014,95.0
HUN,2014,99.4
IDN,2014,100.8
IND,2014,91.8
IRL,2014,96.4
IRN,2014,134.6
IRQ,2014,177.9
ISL,2014,90.3
ISR,2014,90.6
ITA,2014,97.2
JAM,2014,98.1
JOR,2014,94.4
JPN,2014,87.6
KAZ,2014,145.5
KEN,2014,87.6
KGZ,2014,97.1
KHM,2014,90.5
KIR,2014,93.1
KNA,2014,103.9
KOR,2014,89.3
KWT,2014,151.2
LAO,2014,105.3
LBN,2014,92.6
LBR,2014,106.3
LBY,2014,150.6
LCA,2014,91.5
LKA,2014,97.5
LSO,2014,88.2
LTU,2014,97.9
LUX,2014,97.0
LVA,2014,98.6
MAC,2014,97.6
MAF,2014,104.0398262244
MAR,2014,103.0
MDA,2014,94.6
MDG,2014,98.1
MDV,2014,88.4
MEX,2014,97.7
MHL,2014,98.6
MKD,2014,91.9
MLI,2014,98.9
MLT,2014,91.6
MMR,2014,97.8
MNG,2014,112.1
MNP,2014,89.3
MOZ,2014,96.9
MRT,2014,116.2
MUS,2014,88.1
MWI,2014,96.6
MYS,2014,103.5
NAM,2014,97.1
NCL,2014,112.6
NER,2014,103.0
NGA,2014,146.2
NIC,2014,84.9
NLD,2014,98.9
NOR,2014,119.2
NPL,2014,93.3
NRU,2014,91.4
NZL,2014,104.3
OMN,2014,163.1
PAK,2014,96.4
PAN,2014,102.7
PER,2014,107.4
PHL,2014,94.8
PLW,2014,89.8
PNG,2014,113.9
POL,2014,98.3
PRK,2014,102.5
PRT,2014,97.1
PRY,2014,98.4
PSE,2014,89.7
PYF,2014,83.8
QAT,2014,147.2
ROU,2014,98.2
RUS,2014,131.5
RWA,2014,97.2
SAU,2014,150.0
SDN,2014,128.758378373
SEN,2014,96.5
SGP,2014,93.1
SLB,2014,110.4
SLE,2014,119.9
SLV,2014,89.5
SOM,2014,108.8
SRB,2014,96.4
STP,2014,103.7
SUR,2014,104.1
SVK,2014,100.9
SVN,2014,98.8
SWE,2014,99.3
SWZ,2014,97.0
SXM,2014,104.0398262244
SYC,2014,99.5
SYR,2014,100.3
TCA,2014,103.8
TCD,2014,151.2
TGO,2014,88.5
THA,2014,93.8
TJK,2014,98.7
TKM,2014,128.5
TLS,2014,133.0
TON,2014,92.2
TTO,2014,105.0
TUN,2014,108.8
TUR,2014,93.9
TZA,2014,94.5
UGA,2014,96.7
UKR,2014,109.1
URY,2014,98.1
USA,2014,95.9
UZB,2014,107.8
VCT,2014,90.5
VEN,2014,169.6
VGB,2014,91.3
VNM,2014,97.9
VUT,2014,99.6
WLD,2014,100.3
WSM,2014,89.7
YEM,2014,136.7
ZAF,2014,97.5
ZMB,2014,106.8
ZWE,2014,99.1
ABW,2015,100.0
AFG,2015,100.0
AGO,2015,100.0
ALB,2015,100.0
AND,2015,100.0
ARE,2015,100.0
ARG,2015,100.0
ARM,2015,100.0
ASM,2015,100.0
ATG,2015,100.0
AUS,2015,100.0
AUT,2015,100.0
AZE,2015,100.0
BDI,2015,100.0
BEL,2015,100.0
BEN,2015,100.0
BFA,2015,100.0
BGD,2015,100.0
BGR,2015,100.0
BHR,2015,100.0
BHS,2015,100.0
BIH,2015,100.0
BLR,2015,100.0
BLZ,2015,100.0
BMU,2015,100.0
BOL,2015,100.0
BRA,2015,100.0
BRB,2015,100.0
BRN,2015,100.0
BTN,2015,100.0
BWA,2015,100.0
CAF,2015,100.0
CAN,2015,100.0
CHE,2015,100.0
CHL,2015,100.0
CHN,2015,100.0
CIV,2015,100.0
CMR,2015,100.0
COD,2015,100.0
COG,2015,100.0
COL,2015,100.0
COM,2015,100.0
CPV,2015,100.0
CRI,2015,100.0
CUB,2015,100.0
CUW,2015,100.0
CYM,2015,100.0
CYP,2015,100.0
CZE,2015,100.0
DEU,2015,100.0
DJI,2015,100.0
DMA,2015,100.0
DNK,2015,100.0
DOM,2015,100.0
DZA,2015,100.0
ECU,2015,100.0
EGY,2015,100.0
ERI,2015,100.0
ESP,2015,100.0
EST,2015,100.0
ETH,2015,100.0
FIN,2015,100.0
FJI,2015,100.0
FRA,2015,100.0
FRO,2015,100.0
FSM,2015,100.0
GAB,2015,100.0
GBR,2015,100.0
GEO,2015,100.0
GHA,2015,100.0
GIB,2015,100.0
GIN,2015,100.0
GMB,2015,100.0
GNB,2015,100.0
GNQ,2015,100.0
GRC,2015,100.0
GRD,2015,100.0
GRL,2015,100.0
GTM,2015,100.0
GUM,2015,100.0
GUY,2015,100.0
HKG,2015,100.0
HND,2015,100.0
HRV,2015,100.0
HTI,2015,100.0
HUN,2015,100.0
IDN,2015,100.0
IND,2015,100.0
IRL,2015,100.0
IRN,2015,100.0
IRQ,2015,100.0
ISL,2015,100.0
ISR,2015,100.0
