school_name,gender,platform,base_url,status,division,source_id,softball_roster,field_hockey_roster,beach_volleyball_roster,football_roster,baseball_roster,cross_country_roster,soccer_roster,volleyball_roster,water_polo_roster,basketball_roster,bowling_roster,fencing_roster,gymnastics_roster,ice_hockey_roster,swimming_diving_roster,track_field_roster,wrestling_roster,golf_roster,lacrosse_roster,rowing_roster,tennis_roster
Alabama A&M University,Men,Sidearm Sports,http://www.aamusports.com/,OK,I-FCS,6,,,,https://aamusports.com/sports/football/roster,https://aamusports.com/sports/baseball/roster,https://aamusports.com/sports/mens-cross-country/roster,,,,https://aamusports.com/sports/mens-basketball/roster,,,,,,https://aamusports.com/sports/mens-track-and-field/roster,,https://aamusports.com/sports/mens-golf/roster,,,https://aamusports.com/sports/mens-tennis/roster
Alabama A&M University,Women,Sidearm Sports,http://www.aamusports.com/,OK,I-FCS,6,https://aamusports.com/sports/softball/roster,,,,,https://aamusports.com/sports/womens-cross-country/roster,https://aamusports.com/sports/womens-soccer/roster,https://aamusports.com/sports/womens-volleyball/roster,,https://aamusports.com/sports/womens-basketball/roster,,,,,,,,,,,https://aamusports.com/sports/womens-tennis/roster
Alabama State University,Men,Sidearm Sports,http://www.bamastatesports.com/,OK,I-FCS,7,,,,https://bamastatesports.com/sports/football/roster,https://bamastatesports.com/sports/baseball/roster,https://bamastatesports.com/sports/mens-cross-country/roster,,,,https://bamastatesports.com/sports/mens-basketball/roster,,,,,,https://bamastatesports.com/sports/mens-track-and-field/roster,,https://bamastatesports.com/sports/mens-golf/roster,,,https://bamastatesports.com/sports/mens-tennis/roster
Alabama State University,Women,Sidearm Sports,http://www.bamastatesports.com/,OK,I-FCS,7,https://bamastatesports.com/sports/softball/roster,,,,,https://bamastatesports.com/sports/womens-cross-country/roster,https://bamastatesports.com/sports/womens-soccer/roster,https://bamastatesports.com/sports/womens-volleyball/roster,,https://bamastatesports.com/sports/womens-basketball/roster,https://bamastatesports.com/sports/womens-bowling/roster,,,,,https://bamastatesports.com/sports/womens-track-and-field/roster,,https://bamastatesports.com/sports/womens-golf/roster,,,https://bamastatesports.com/sports/womens-tennis/roster
Albany State University (Georgia),Men,Sidearm Sports,http://www.asugoldenrams.com/,OK,II,8,,,,https://asugoldenrams.com/sports/football/roster,https://asugoldenrams.com/sports/baseball/roster,,,,,https://asugoldenrams.com/sports/mens-basketball/roster,,,,,,https://asugoldenrams.com/sports/track-and-field/roster,,,,,https://asugoldenrams.com/sports/tennis/roster
Albany State University (Georgia),Women,Sidearm Sports,http://www.asugoldenrams.com/,OK,II,8,https://asugoldenrams.com/sports/softball/roster,,,,,https://asugoldenrams.com/sports/womens-cross-country/roster,https://asugoldenrams.com/sports/womens-soccer/roster,https://asugoldenrams.com/sports/womens-volleyball/roster,,https://asugoldenrams.com/sports/womens-basketball/roster,,,,,,https://asugoldenrams.com/sports/womens-track-and-field/roster,,,,,
Albertus Magnus College,Men,PrestoSports,http://www.albertusfalcons.com/,OK,III,9,,,,,https://www.albertusfalcons.com/sports/bsb/2025-26/roster,,https://www.albertusfalcons.com/sports/msoc/2025-26/roster,,,https://www.albertusfalcons.com/sports/mbkb/2025-26/roster,,,,https://www.albertusfalcons.com/sports/mice/2025-26/roster,https://www.albertusfalcons.com/sports/mswim/2025-26/roster,,,https://www.albertusfalcons.com/sports/mgolf/2025-26/roster,https://www.albertusfalcons.com/sports/mlax/2025-26/roster,,https://www.albertusfalcons.com/sports/mten/2025-26/roster
Albertus Magnus College,Women,PrestoSports,http://www.albertusfalcons.com/,OK,III,9,https://www.albertusfalcons.com/sports/sball/2025-26/roster,,,,,,https://www.albertusfalcons.com/sports/wsoc/2025-26/roster,https://www.albertusfalcons.com/sports/wvball/2025-26/roster,,https://www.albertusfalcons.com/sports/wbkb/2025-26/roster,,,,https://www.albertusfalcons.com/sports/wice/2025-26/roster,https://www.albertusfalcons.com/sports/wswim/2025-26/roster,,,https://www.albertusfalcons.com/sports/wgolf/2025-26/roster,https://www.albertusfalcons.com/sports/wlax/2025-26/roster,,https://www.albertusfalcons.com/sports/wten/2025-26/roster
Albion College,Men,Sidearm Sports,http://www.gobrits.com/,OK,III,10,,,,https://gobrits.com/sports/football/roster,https://gobrits.com/sports/baseball/roster,https://gobrits.com/sports/mens-cross-country/roster,https://gobrits.com/sports/mens-soccer/roster,,,https://gobrits.com/sports/mens-basketball/roster,,,,,https://gobrits.com/sports/swimming-and-diving/roster,https://gobrits.com/sports/mens-track-and-field/roster,https://gobrits.com/sports/wrestling/roster,https://gobrits.com/sports/mens-golf/roster,https://gobrits.com/sports/mens-lacrosse/roster,,https://gobrits.com/sports/mens-tennis/roster
Albion College,Women,Sidearm Sports,http://www.gobrits.com/,OK,III,10,https://gobrits.com/sports/softball/roster,,,,,https://gobrits.com/sports/womens-cross-country/roster,https://gobrits.com/sports/womens-soccer/roster,https://gobrits.com/sports/womens-volleyball/roster,,https://gobrits.com/sports/womens-basketball/roster,,,,,https://gobrits.com/sports/womens-swimming-and-diving/roster,https://gobrits.com/sports/womens-track-and-field/roster,https://gobrits.com/sports/womens-wrestling/roster,https://gobrits.com/sports/womens-golf/roster,https://gobrits.com/sports/womens-lacrosse/roster,,https://gobrits.com/sports/womens-tennis/roster
