iso_code,year,total_cases_per_million,total_deaths_per_million,stringency_index
MCO,2021,118231.53,975.64,38.83
MCO,2022,422064.75,1668.85,21.4
MCO,2023,441115.3,1720.2,
MDA,2020,46380.46,973.69,53.27
MDA,2021,123141.65,3350.01,53.75
MDA,2022,196086.36,3924.03,17.02
MDA,2023,207586.75,4004.62,
MDG,2020,581.98,8.57,48.48
MDG,2021,1651.89,33.74,47.57
MDG,2022,2225.4,46.52,17.17
MDG,2023,2249.94,46.85,
MDV,2020,26032.4,91.58,
MDV,2021,180998.1,497.98,
MDV,2022,354268.9,593.38,
MDV,2023,356207.4,602.92,
MEX,2020,11300.67,1118.78,57.39
MEX,2021,31116.41,2357.89,49.12
MEX,2022,56336.32,2576.11,25.42
MEX,2023,59157.39,2597.92,
MHL,2020,99.77,0.0,
MHL,2021,99.77,0.0,
MHL,2022,387688.94,424.0,
MHL,2023,402504.12,424.0,
MKD,2020,44448.65,1573.71,
MKD,2021,121348.02,4538.55,
MKD,2022,187795.48,5366.7,
MKD,2023,190364.72,5415.07,
MLI,2020,284.93,10.84,39.39
MLI,2021,867.3,28.3,44.8
MLI,2022,1420.21,32.2,28.86
MLI,2023,1437.37,32.2,
MLT,2020,23885.16,429.77,46.26
MLT,2021,89807.91,933.37,51.8
MLT,2022,220064.97,1578.96,22.13
MLT,2023,229124.14,1686.88,
MMR,2020,2267.36,48.38,63.13
MMR,2021,9852.02,358.17,72.99
MMR,2022,11786.64,362.56,55.78
MMR,2023,11932.41,362.63,
MNE,2020,57284.63,883.43,
MNE,2021,257073.12,3702.92,
MNE,2022,396929.97,4256.08,
MNE,2023,408818.03,4317.9,
MNG,2020,331.07,0.3,59.63
MNG,2021,204059.94,585.05,58.95
MNG,2022,297492.47,630.83,10.91
MNG,2023,298679.72,630.83,
MNP,2020,2646.36,43.38,
MNP,2021,62753.52,238.61,
MNP,2022,287108.75,889.35,
MNP,2023,311077.84,889.35,
MOZ,2020,556.16,4.87,52.38
MOZ,2021,5048.41,60.02,51.35
MOZ,2022,7072.77,68.29,28.33
MOZ,2023,7157.32,68.9,
MRT,2020,2772.15,69.12,39.25
MRT,2021,8296.95,176.8,37.5
MRT,2022,13009.15,204.49,32.47
MRT,2023,13082.78,204.49,
MSR,2020,2904.38,223.41,
MSR,2021,10053.62,223.41,
MSR,2022,313449.5,1787.31,
MSR,2023,313449.5,1787.31,
MTQ,2020,17375.33,120.18,
MTQ,2021,136862.2,2217.7,
MTQ,2022,650687.75,3087.61,
MTQ,2023,659169.44,3159.15,
MUS,2020,412.97,7.84,30.15
MUS,2021,70596.03,597.12,52.54
MUS,2022,228193.9,814.18,20.57
MUS,2023,253672.42,830.63,
MWI,2020,308.38,9.14,45.68
MWI,2021,3436.38,113.18,41.53
MWI,2022,4286.12,130.54,30.22
MWI,2023,4335.12,130.59,
MYS,2020,2994.62,13.0,56.49
MYS,2021,79006.77,903.11,70.62
MYS,2022,144782.66,1061.66,21.08
MYS,2023,150662.84,1074.87,
MYT,2020,18890.98,176.89,
MYT,2021,69733.17,606.0,
MYT,2022,137477.97,612.56,
MYT,2023,137667.97,612.56,
NAM,2020,7586.68,67.48,44.02
NAM,2021,50558.4,1249.62,45.71
NAM,2022,58926.49,1412.62,16.68
NAM,2023,59608.58,1419.89,
NCL,2020,132.34,0.0,
NCL,2021,44289.89,975.16,
NCL,2022,275699.94,1093.58,
NCL,2023,278841.38,1093.58,
NER,2020,122.83,3.99,24.09
NER,2021,287.14,10.82,26.53
NER,2022,374.76,12.4,13.68
NER,2023,375.91,12.44,
NGA,2020,374.53,5.59,55.71
NGA,2021,1057.64,13.51,46.09
NGA,2022,1193.88,14.14,21.11
NGA,2023,1197.34,14.14,
NIC,2020,711.67,24.37,12.6
NIC,2021,2010.35,32.09,9.15
NIC,2022,2282.84,36.4,12.38
NIC,2023,2394.27,36.4,
NIU,2020,0.0,0.0,
NIU,2021,0.0,0.0,
NIU,2022,181670.28,0.0,
NIU,2023,538503.25,0.0,
NLD,2020,43184.75,644.48,50.68
NLD,2021,172331.84,1170.66,57.81
NLD,2022,478433.03,1283.26,20.73
NLD,2023,482061.34,1283.82,
NOR,2020,8657.83,77.15,42.19
NOR,2021,68774.8,244.65,50.34
NOR,2022,270217.97,869.56,14.81
NOR,2023,275607.03,1050.43,
NPL,2020,8688.45,91.54,66.65
NPL,2021,27839.78,389.86,51.94
NPL,2022,33685.06,404.47,35.65
NPL,2023,33768.65,404.87,
