school_norm,name_norm,profile_url,country_code,year
iona,scott fagan,https://www.tfrrs.org/athletes/8264772/Iona/Scott_Fagan.html,IRL,2022
iona,matt rankin,https://www.tfrrs.org/athletes/7742085/Iona/Matt_Rankin.html,AUS,2020
iowa state,rodgers kiplimo,https://www.tfrrs.org/athletes/8245423/Iowa_State/Rodgers_Kiplimo.html,KEN,2023
kansas,hussain al hizam,https://www.tfrrs.org/athletes/5637667/Kansas/Hussain_Al_Hizam.html,SAU,2019
kansas,ryo higuchi,https://www.tfrrs.org/athletes/8610312/Kansas/Ryo_Higuchi.html,JPN,2023
kansas,michael joseph,https://www.tfrrs.org/athletes/7727969/Kansas/Michael_Joseph.html,LCA,2020
kansas,josiah parris,https://www.tfrrs.org/athletes/8671762/Kansas/Josiah_Parris.html,BRB,2023
kansas,pearl awanya,https://www.tfrrs.org/athletes/8671724/Kansas/Pearl_Awanya.html,GHA,2023
kansas,aaliyah moore,https://www.tfrrs.org/athletes/8255885/Kansas/Aaliyah_Moore.html,GUY,2022
kansas,deshana skeete,https://www.tfrrs.org/athletes/8671725/Kansas/Deshana_Skeete.html,GUY,2023
kansas,sofia sluchaninova,https://www.tfrrs.org/athletes/8320103/Kansas/Sofia_Sluchaninova.html,RUS,2022
kansas city,shavelle shaw,https://www.tfrrs.org/athletes/7890455/Kansas_City/Shavelle_Shaw.html,JAM,2020
kansas state,aaron antoine,https://www.tfrrs.org/athletes/8378751/Kansas_State/Aaron_Antoine.html,TTO,2022
kansas state,jhavor bennett,https://www.tfrrs.org/athletes/8322838/Kansas_State/Jhavor_Bennett.html,JAM,2022
kansas state,james ezeonu,https://www.tfrrs.org/athletes/8035544/Kansas_State/James_Ezeonu.html,IRL,2023
kansas state,emil uhlin,https://www.tfrrs.org/athletes/7978394/Kansas_State/Emil_Uhlin.html,SWE,2021
kansas state,sharie enoe,https://www.tfrrs.org/athletes/8339487/Kansas_State/Sharie_Enoe.html,GRD,2023
kansas state,christine jerono,https://www.tfrrs.org/athletes/8586896/Kansas_State/Christine_Jerono.html,KEN,2023
kansas state,vanessa mercera,https://www.tfrrs.org/athletes/7993649/Kansas_State/Vanessa_Mercera.html,CUW,2023
kennesaw state,brian limo,https://www.tfrrs.org/athletes/8725186/Kennesaw_State/Brian_Limo.html,KEN,2023
kentucky,alex alston,https://www.tfrrs.org/athletes/8253256/Kentucky/Alex_Alston.html,GBR,2023
liu,lekh desai,https://www.tfrrs.org/athletes/8691226/LIU/Lekh_Desai.html,IND,2022
liu,sage primus,https://www.tfrrs.org/athletes/8666622/LIU/Sage_Primus.html,VCT,2023
liu,elehchio scott,https://www.tfrrs.org/athletes/8526406/LIU/Elehchio__Scott.html,JAM,2022
lsu,jaden james,https://www.tfrrs.org/athletes/8480125/LSU/Jaden_James.html,TTO,2023
lsu,shakeem mckay,https://www.tfrrs.org/athletes/8359926/LSU/Shakeem_McKay.html,TTO,2023
lsu,mats swanson,https://www.tfrrs.org/athletes/8374918/LSU/Mats__Swanson.html,CAN,2023
lsu,ella onojuvwevwo,https://www.tfrrs.org/athletes/8359937/LSU/Ella_Onojuvwevwo.html,NGA,2023
lamar,mariam buenanueva saleme,https://www.tfrrs.org/athletes/7988601/Lamar/Mariam_Buenanueva-Saleme.html,ARG,2022
liberty,edwin kiprop,https://www.tfrrs.org/athletes/8716785/Liberty/Edwin_Kiprop.html,KEN,2023
liberty,nicholas kiprotich,https://www.tfrrs.org/athletes/8245854/Liberty/Nicholas_Kiprotich.html,KEN,2022
liberty,paola bueno,https://www.tfrrs.org/athletes/8314066/Liberty/Paola_Bueno.html,MEX,2022
long beach st,cameron gill,https://www.tfrrs.org/athletes/8240577/Long_Beach_St/Cameron__Gill.html,AUS,2023
long beach st,kiikii brown,https://www.tfrrs.org/athletes/8360075/Long_Beach_St/KiiKii_Brown.html,GBR,2023
louisville,ian kibiwot,https://www.tfrrs.org/athletes/7815149/Louisville/Ian_Kibiwot.html,KEN,2020
louisville,roman kuleshov,https://www.tfrrs.org/athletes/8673358/Louisville/Roman_Kuleshov.html,RUS,2023
louisville,alba cuns iglesias,https://www.tfrrs.org/athletes/8327517/Louisville/Alba_Cuns_Iglesias.html,ESP,2022
louisville,lucy fellows,https://www.tfrrs.org/athletes/8673244/Louisville/Lucy_Fellows.html,GBR,2023
louisville,maddie seaby,https://www.tfrrs.org/athletes/8628452/Louisville/Maddie_Seaby.html,CAN,2023
louisville,iliana triantafyllou,https://www.tfrrs.org/athletes/8731964/Louisville/Iliana_Triantafyllou.html,GRC,2023
